Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Daniel Aguirre,LAG,2024,CM,165,0.04,0.02,0.04,0.03,-0.01,-0.0,0.12,1128
Damir Kreilach,VAN,2024,ST,558,-0.23,-0.08,-0.0,-0.08,0.4,0.11,0.12,354
Ryan Spaulding,NER,2024,FB,526,0.01,0.04,0.12,-0.02,-0.04,0.0,0.11,706
Paul Marie,SJE,2024,FB,1716,-0.33,-0.33,0.42,0.11,0.37,-0.12,0.11,433
Dylan Teves,SEA,2024,W,105,-0.02,-0.02,0.07,-0.02,0.08,0.01,0.11,744
Patrick Yazbek,NSH,2024,CM,415,-0.01,-0.0,0.23,-0.07,-0.03,-0.01,0.11,321
Brooklyn Raines,HOU,2024,DM,520,0.02,0.0,0.47,-0.08,-0.19,-0.12,0.1,603
Jack Skahan,SJE,2024,CM,1010,-0.11,-0.08,-0.32,-0.22,0.63,0.19,0.1,556
Gabriel Pirani,DCU,2024,W,1599,0.41,-0.05,-0.0,-0.58,-0.15,0.47,0.1,190
Ashley Westwood,CLT,2024,DM,3368,-0.03,0.16,-0.0,1.03,-0.57,-0.49,0.1,153
Marco Reus,LAG,2024,CM,403,-0.25,0.03,-0.04,-0.11,0.33,0.12,0.1,93
Ruan,"FCD, MTL",2024,FB,2708,0.98,0.19,-0.49,-1.49,0.93,-0.04,0.1,353
Tim Leibold,SKC,2024,FB,2442,0.16,-0.12,0.18,0.04,-0.2,0.03,0.09,258
Joaquín Sosa,MTL,2024,CB,1417,0.57,0.25,-0.68,-0.25,0.0,0.21,0.09,489
Franco Escobar,HOU,2024,FB,2021,0.05,-0.25,0.42,-0.19,0.04,0.03,0.09,298
Dominik Marczuk,RSL,2024,W,508,0.28,-0.03,-0.08,-0.11,0.05,-0.02,0.09,224
Derrick Jones,CLB,2024,CM,590,-0.04,-0.03,0.16,0.31,-0.22,-0.08,0.08,412
Rudy Camacho,CLB,2024,CB,2609,0.21,-0.11,-0.33,0.7,-0.36,-0.03,0.08,281
Peyton Miller,NER,2024,FB,743,0.12,-0.02,0.42,-0.45,-0.01,0.02,0.08,812
Wayne Frederick,COL,2024,AM,4,0.0,-0.0,0.08,0.0,-0.0,-0.0,0.08,824
Henry Kessler,"STL, NER",2024,CB,2356,-0.09,-0.31,0.76,0.15,-0.32,-0.12,0.08,113
Joaquín Pereyra,MIN,2024,W,446,0.1,0.0,0.04,0.12,-0.05,-0.13,0.08,208
Federico Redondo,MIA,2024,CM,1250,0.11,-0.07,0.28,-0.05,-0.07,-0.12,0.08,487
Diego Luna,RSL,2024,W,2467,-0.63,-0.06,-0.08,0.82,-0.27,0.3,0.07,349
Nathan,SEA,2024,CB,103,0.0,0.01,0.16,-0.04,-0.04,-0.02,0.07,284
Talles Magno,NYC,2024,W,91,-0.08,0.24,-0.07,-0.01,-0.01,-0.0,0.06,109
David Ayala,POR,2024,DM,1664,0.03,-0.06,0.3,0.3,-0.42,-0.08,0.06,344
Cavan Sullivan,PHI,2024,AM,19,0.02,-0.0,0.02,0.01,-0.02,0.02,0.05,411
Gabe Segal,HOU,2024,ST,279,-0.07,-0.03,-0.06,-0.2,0.33,0.08,0.05,825
Jose Casas de Abadal,MIA,2024,W,45,0.0,0.0,0.09,-0.01,-0.01,-0.01,0.05,1157
Dániel Gazdag,PHI,2024,AM,2807,0.22,0.06,0.38,-1.98,1.28,0.09,0.05,52
Omar González,FCD,2024,CB,960,0.06,0.05,-0.01,0.03,-0.07,-0.01,0.05,608
Hayden Sargis,DCU,2024,CB,37,0.0,0.0,0.04,0.0,-0.01,-0.0,0.04,726
David Martínez,MIA,2024,CB,314,-0.09,0.03,0.04,0.14,-0.04,-0.04,0.04,314
Kalani Kossa-Rienzi,SEA,2024,FB,19,-0.02,0.0,0.06,0.0,-0.0,-0.0,0.04,1161
Herbert Endeley,FCD,2024,FB,134,-0.01,0.08,0.08,-0.03,-0.04,-0.03,0.04,844
Russell Canouse,DCU,2024,CM,25,-0.01,0.0,0.05,0.01,-0.01,-0.0,0.04,241
Xande Silva,ATL,2024,W,1589,0.12,0.04,-0.1,0.16,-0.54,0.36,0.03,255
Julian Hall,NYRB,2024,ST,232,0.11,-0.04,-0.02,0.08,-0.12,0.01,0.03,531
Franco Fragapane,MIN,2024,W,987,-0.13,-0.08,0.01,0.08,0.07,0.08,0.03,442
Larrys Mabiala,POR,2024,CB,48,0.02,0.0,-0.0,0.02,-0.01,0.0,0.03,1167
Nikolas Dyhr,STL,2024,FB,166,-0.0,-0.02,0.05,0.04,-0.02,-0.02,0.03,1168
Finn Surman,POR,2024,CB,98,0.0,0.0,0.09,-0.03,-0.02,-0.01,0.03,518
Tommy Silva,RSL,2024,FB,23,-0.0,-0.0,0.07,-0.04,0.0,-0.0,0.03,791
Antino Lopez,SEA,2024,AM,14,-0.0,0.06,-0.01,0.0,-0.01,-0.01,0.03,1171
Quinn Sullivan,PHI,2024,CM,2722,1.0,-0.14,-0.45,0.24,-1.0,0.37,0.02,554
Marcos Dias,NER,2024,W,10,0.01,-0.0,-0.0,-0.0,-0.01,0.03,0.02,1173
Reggie Cannon,COL,2024,FB,379,-0.08,0.01,0.29,-0.23,0.03,0.0,0.02,156
Luca Petrasso,ORL,2024,W,36,0.03,-0.01,-0.01,0.01,-0.01,0.01,0.02,633
Jamie Paterson,CLT,2024,W,80,-0.01,-0.01,0.04,-0.03,0.04,-0.01,0.02,289
Guilherme Biro,ATX,2024,FB,2588,-0.22,0.13,0.13,-0.22,0.11,0.09,0.02,520
Malte Amundsen,CLB,2024,CB,2623,0.05,0.16,-0.58,1.1,-0.48,-0.24,0.02,360
Jefferson Valverde,HOU,2024,FB,16,-0.0,0.0,0.01,0.01,-0.0,-0.0,0.01,519
Teenage Hadebe,CIN,2024,CB,206,-0.02,0.02,0.0,0.08,-0.05,-0.02,0.01,152
Sawyer Jura,POR,2024,FB,13,0.0,0.01,-0.0,0.01,-0.0,-0.0,0.01,1181
Ervin Torres,ATX,2024,CM,14,0.0,0.0,-0.01,0.02,-0.0,-0.0,0.01,1182
Will Richmond,SJE,2024,W,7,-0.0,-0.0,-0.0,-0.0,0.01,0.01,0.01,728
Stephen Afrifa,SKC,2024,W,914,0.4,-0.07,-0.06,-0.61,-0.1,0.44,0.01,892
Ousman Jabang,MTL,2024,FB,15,-0.0,0.0,0.02,-0.01,-0.0,-0.0,0.01,890
Andreas Maxsø,COL,2024,CB,3466,-0.13,0.58,-0.18,-0.17,-0.05,-0.05,0.0,83
Tomas Ostrak,STL,2024,DM,765,-0.15,0.03,0.21,-0.07,-0.19,0.18,0.0,166
Nicolás Freire,MIA,2024,CB,825,0.21,0.05,-0.16,0.13,-0.15,-0.08,0.0,120
Jonathan Pérez,"NSH, LAG",2024,W,446,0.36,-0.04,-0.01,-0.26,-0.19,0.13,-0.0,449
Marvin Loría,POR,2024,AM,1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,467
Kelvin Yeboah,MIN,2024,ST,786,-0.0,0.14,0.02,-0.32,-0.05,0.22,-0.0,76
Javier Casas,CHI,2024,CM,3,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,681
Cyprian Kachwele,VAN,2024,CM,6,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1193
Shakur Mohammed,ORL,2024,CM,13,-0.0,0.02,-0.01,-0.0,-0.01,-0.01,-0.01,676
Isaiah Parente,LAG,2024,DM,67,-0.0,-0.0,-0.0,0.05,-0.03,-0.02,-0.01,849
Mohanad Jeahze,DCU,2024,DM,5,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.01,1196
Brandon Servania,TOR,2024,CM,78,-0.02,0.01,-0.02,0.01,0.0,0.02,-0.01,256
