"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Strahinja Tanasijević","NYC","2024","CB","1162","618","88.0%","85.9%","13.19","2.13","21.08","5.87","7.0%","16"
"","DJ Taylor","MIN","2024","FB","1669","696","76.6%","74.7%","13.17","1.89","19.80","5.20","6.4%","24"
"","Bode Hidalgo","RSL","2024","FB","1631","1064","84.5%","83.3%","13.10","1.23","21.06","5.30","7.5%","25"
"","Yohei Takaoka","VAN","2024","GK","3327","975","73.7%","72.4%","13.01","1.33","38.44","28.49","5.4%","33"
"","Sean Davis","NSH","2024","DM","1487","580","86.6%","84.3%","12.91","2.23","17.84","2.62","4.6%","25"
"","Marco Reus","LAG","2024","CM","403","251","87.6%","82.5%","12.83","5.11","14.96","1.49","5.9%","6"
"","Christopher McVey","DCU","2024","CB","2458","1054","81.3%","80.1%","12.72","1.21","22.06","7.91","8.6%","27"
"","Ethan Bartlow","HOU","2024","CB","975","603","85.9%","83.8%","12.66","2.10","25.71","9.26","6.6%","16"
"","Nouhou","SEA","2024","FB","2441","1381","83.4%","82.5%","12.63","0.91","18.86","2.60","9.5%","27"
"","Amar Sejdić","NSH","2024","DM","404","267","89.5%","84.8%","12.55","4.70","21.38","4.56","3.1%","17"
"","Santiago Moreno","POR","2024","W","2738","1234","77.3%","76.3%","12.45","1.01","17.92","2.45","8.9%","31"
"","Jere Uronen","CLT","2024","FB","2408","1264","80.8%","79.8%","12.39","0.98","18.94","2.01","10.3%","26"
"","Fernando Álvarez","MTL","2024","CB","2396","1446","87.3%","86.4%","12.32","0.85","20.65","5.43","9.1%","27"
"","Federico Redondo","MIA","2024","CM","1250","842","89.5%","88.1%","12.30","1.46","18.10","2.73","8.9%","16"
"","Kevin Long","TOR","2024","CB","2398","1245","85.9%","84.9%","12.07","0.97","23.85","8.27","8.9%","26"
"","Brian Anunga","NSH","2024","DM","1659","776","86.3%","84.8%","11.95","1.54","19.20","3.37","5.5%","30"
"","Sebastián Driussi","ATX","2024","AM","2549","998","81.4%","80.2%","11.93","1.20","20.74","4.44","8.6%","27"
"","Akil Watts","STL","2024","FB","1124","499","81.2%","78.8%","11.85","2.37","17.48","2.77","6.4%","17"
"","Carlos Gruezo","SJE","2024","DM","2175","810","86.3%","84.8%","11.82","1.46","20.62","4.28","7.3%","24"
"","Joakim Nilsson","STL","2024","CB","1373","639","83.7%","81.9%","11.78","1.84","19.82","8.36","7.5%","19"
"","Sam Vines","COL","2024","FB","2451","1431","81.1%","80.3%","11.70","0.82","17.75","3.72","9.9%","27"
"","Wil Trapp","MIN","2024","CM","2574","1195","84.4%","83.4%","11.51","0.96","19.20","5.17","9.5%","27"
"","Héctor Jiménez","ATX","2024","FB","664","352","85.5%","82.3%","11.38","3.23","19.02","4.01","4.5%","15"
"","Tayvon Gray","NYC","2024","FB","1893","1011","77.5%","76.3%","11.38","1.13","18.64","3.73","6.8%","27"
"","John Tolkin","NYRB","2024","FB","2708","1461","73.7%","72.9%","11.36","0.78","22.09","2.85","10.7%","28"
"","Ronald Donkor","NYRB","2024","CM","1091","449","82.6%","80.1%","11.35","2.53","19.12","6.66","5.7%","17"
"","Brooklyn Raines","HOU","2024","DM","520","285","93.0%","89.0%","11.24","3.94","16.56","1.36","3.1%","15"
"","Aziel Jackson","CLB, STL","2024","AM","1298","460","80.2%","77.8%","11.10","2.41","17.83","1.87","4.7%","25"
"","Julián Aude","LAG","2024","FB","1894","1071","83.8%","82.8%","10.69","1.00","17.24","2.41","7.6%","25"
"","Ajani Fortune","ATL","2024","DM","1525","668","85.2%","83.6%","10.65","1.59","19.59","3.16","5.1%","27"
"","Fidel Barajas","RSL","2024","W","658","176","80.7%","74.7%","10.58","6.01","16.98","-1.03","2.3%","17"
"","Leo Väisänen","ATX","2024","CB","945","507","92.1%","90.0%","10.54","2.08","20.97","5.42","7.8%","13"
"","Lalas Abubakar","COL","2024","CB","1445","677","90.3%","88.7%","10.52","1.55","20.18","5.67","7.2%","18"
"","Lorenzo Insigne","TOR","2024","AM","1513","1102","84.2%","83.3%","10.44","0.95","19.50","2.24","8.8%","23"
"","Philip Quinton","CLB, RSL","2024","CB","1507","831","87.2%","86.0%","10.32","1.24","21.27","5.33","7.5%","20"
"","Luís Martins","VAN","2024","FB","876","487","80.1%","78.0%","10.27","2.11","21.45","2.81","5.7%","16"
"","Ian Harkes","NER","2024","DM","1792","891","85.3%","84.2%","10.25","1.15","19.26","3.60","6.2%","27"
"","Tanner Beason","SJE","2024","CB","1857","781","83.5%","82.2%","10.20","1.31","23.18","8.12","6.7%","26"
"","Jake Nerwinski","STL","2024","FB","663","357","81.5%","78.7%","10.12","2.83","18.94","4.87","6.7%","11"
"","Maarten Paes","FCD","2024","GK","3078","1019","78.7%","77.7%","10.05","0.99","31.69","23.15","6.2%","30"
"","DeAndre Yedlin","CIN, MIA","2024","FB","2786","1396","82.3%","81.6%","10.00","0.72","19.17","3.33","8.1%","31"
"","Felipe","ORL","2024","DM","455","213","89.7%","85.0%","9.90","4.65","16.96","4.27","2.8%","14"
"","Logan Ndenbe","SKC","2024","FB","273","206","82.0%","77.3%","9.87","4.79","17.51","3.85","7.7%","5"
"","Jonathan Pérez","NSH, LAG","2024","W","446","135","85.2%","78.0%","9.67","7.16","18.47","-2.17","2.5%","12"
"","Josh Bauer","NSH","2024","CB","2112","1037","83.8%","82.9%","9.66","0.93","20.78","5.43","8.4%","26"
"","Emil Forsberg","NYRB","2024","W","1512","530","77.9%","76.1%","9.65","1.82","19.74","3.05","7.0%","19"
"","Coco Carrasquilla","HOU","2024","W","2562","1441","83.0%","82.3%","9.60","0.67","17.97","3.54","8.7%","28"
"","Agustín Ojeda","NYC","2024","W","1103","417","83.2%","80.9%","9.47","2.27","14.40","-1.60","3.8%","22"
"","Matt Miazga","CIN","2024","CB","1593","1010","85.9%","85.0%","9.47","0.94","24.34","9.45","10.9%","16"
"","Daniel Munie","SJE","2024","CB","1261","608","80.9%","79.4%","9.33","1.53","22.89","9.92","7.5%","17"
"","Josh Yaro","STL","2024","CB","915","397","84.9%","82.6%","8.91","2.24","21.29","7.06","6.6%","13"
"","Djibril Diani","CLT","2024","DM","2014","757","86.7%","85.5%","8.90","1.18","18.48","2.47","6.3%","28"
"","Jon Bell","SEA","2024","CB","558","278","85.6%","82.4%","8.89","3.20","22.87","7.78","5.2%","10"
"","Jhojan Valencia","ATX","2024","DM","1642","794","88.4%","87.3%","8.76","1.10","22.28","4.91","6.1%","27"
"","George Campbell","MTL","2024","CB","2462","1785","85.1%","84.6%","8.61","0.48","20.39","6.54","10.8%","28"
"","Jimmy Maurer","FCD","2024","GK","391","162","82.1%","76.9%","8.44","5.21","32.64","24.35","6.8%","4"
"","Daniel","SJE","2024","GK","1184","395","79.8%","77.7%","8.21","2.08","33.18","23.79","6.2%","12"
"","Carlos Akapo","SJE","2024","FB","1781","1019","80.6%","79.8%","7.73","0.76","18.37","4.00","10.5%","21"
"","Teenage Hadebe","CIN","2024","CB","206","148","85.8%","80.6%","7.66","5.18","20.62","7.52","6.2%","4"
"","Liam Fraser","FCD","2024","CM","1516","894","85.2%","84.4%","7.58","0.85","19.13","5.28","9.0%","18"
"","Christian Benteke","DCU","2024","ST","2958","761","60.2%","59.2%","7.56","0.99","14.82","2.99","6.5%","30"
"","Tomas Totland","STL","2024","FB","2809","1224","73.0%","72.3%","7.56","0.62","19.31","5.40","9.3%","30"
"","Aimé Mabika","TOR","2024","CB","551","230","82.6%","79.4%","7.48","3.25","21.14","8.32","4.0%","12"
"","Kosi Thompson","TOR","2024","CM","1313","606","86.0%","84.8%","7.34","1.21","17.98","3.70","4.1%","29"
"","Kobe Franklin","TOR","2024","FB","846","321","82.5%","80.3%","7.32","2.28","16.73","-0.28","3.1%","21"
"","Christian Ramírez","CLB","2024","AM","1582","509","79.2%","77.7%","7.30","1.43","16.56","3.03","3.4%","25"
"","Gabriele Corbo","MTL","2024","CB","1980","1240","85.9%","85.3%","7.21","0.58","22.76","9.02","7.8%","28"
"","Mathieu Choinière","MTL","2024","CM","1707","996","84.2%","83.5%","7.18","0.72","16.99","2.64","10.5%","17"
"","Nick Lima","NER","2024","FB","2032","993","79.0%","78.2%","7.16","0.72","20.48","2.07","7.5%","25"
